# FFA-W3-211 Polar
# Re = 10000000.0
angle 	 cl 	 cd 	 glide_ratio 
69.28571428571428	 0.4993337790943132	 1.2736589290454254	 0.39204669924353375 
73.42857142857143	 0.4119938947622353	 1.3467955463506425	 0.3059067843508976 
77.57142857142857	 0.31635638514951436	 1.4069850698385047	 0.22484700934731747 
81.71428571428572	 0.21438943296538293	 1.453090726702315	 0.14754029395805474 
85.85714285714286	 0.10820218755296933	 1.4842716907660747	 0.07289917892129513 
90.0	 9.184850993605148e-17	 1.5	 6.123233995736766e-17 
94.14285714285714	 -0.07574153128707853	 1.4842716907660747	 -0.0510294252449066 
98.28571428571428	 -0.15007260307576803	 1.453090726702315	 -0.1032782057706383 
102.42857142857143	 -0.22144946960466005	 1.4069850698385047	 -0.1573929065431222 
106.57142857142857	 -0.2883957263335647	 1.3467955463506425	 -0.21413474904562832 
110.71428571428572	 -0.3495336453660192	 1.2736589290454254	 -0.2744326894704736 
114.85714285714285	 -0.4036137404825086	 1.1889848314564995	 -0.33946079866139595 
119.0	 -0.4495420491556365	 1.0944268926517475	 -0.41075566780565503 
123.14285714285712	 -0.4864047325245805	 0.9918488511104976	 -0.49040207283598725 
127.28571428571429	 -0.5134897592756826	 0.8832862128142485	 -0.5813401724449507 
131.42857142857144	 -0.5303056890138329	 0.7709043107745845	 -0.6879007959898363 
135.57142857142856	 -0.5365979734452553	 0.6569536286745052	 -0.8167973354952249 
139.71428571428572	 -0.532363896813595	 0.5437233185486685	 -0.9791080843003117 
143.8571428571429	 -0.5178686154966322	 0.4334938802781715	 -1.194638815118492 
148.0	 -0.49366754497719945	 0.3284899883354445	 -1.502838937280123 
150.28571428571428	 -0.45840557747882804	 0.2735720235374573	 -1.6756303204960703 
152.57142857142858	 -0.42314360998045647	 0.22123221470378446	 -1.9126672421872115 
154.85714285714286	 -0.3878816424820853	 0.17179362085497646	 -2.2578349565699214 
157.14285714285717	 -0.3526196749837137	 0.12556157888334596	 -2.808340561815633 
159.42857142857142	 -0.3173577074853424	 0.08282177551092045	 -3.8318148280158195 
161.7142857142857	 -0.28209573998697124	 0.05537268523481514	 -5.094492686975667 
164.0	 -0.24683377248859964	 0.05	 -4.936675449771992 
166.28571428571428	 -0.2115718049902284	 0.05	 -4.231436099804568 
168.57142857142858	 -0.17630983749185686	 0.05	 -3.526196749837137 
170.8571428571429	 -0.14104786999348562	 0.05	 -2.8209573998697124 
173.14285714285714	 -0.10578590249511402	 0.05	 -2.1157180499022803 
175.42857142857142	 -0.07052393499674281	 0.05	 -1.4104786999348562 
177.71428571428572	 -0.03526196749837121	 0.05	 -0.7052393499674242 
180.0	 0.0	 0.05	 0.0 
